iter	Passed	Remaining
539	8963	7635
540	8978	7617
541	8993	7600
542	9009	7582
543	9025	7565
544	9040	7547
545	9059	7533
546	9075	7515
547	9091	7498
548	9107	7481
549	9123	7464
550	9137	7445
551	9152	7427
552	9167	7410
553	9182	7392
554	9198	7375
555	9213	7357
556	9229	7340
557	9246	7324
558	9261	7306
559	9276	7288
560	9292	7271
561	9307	7254
562	9322	7236
563	9337	7218
564	9353	7201
565	9368	7183
566	9384	7166
567	9408	7155
568	9424	7138
569	9440	7121
570	9455	7104
571	9471	7087
572	9486	7069
573	9501	7051
574	9517	7034
575	9533	7017
576	9548	6999
577	9564	6982
578	9579	6965
579	9595	6948
580	9611	6931
581	9626	6913
582	9643	6897
583	9660	6881
584	9675	6863
585	9690	6845
586	9704	6828
587	9720	6811
588	9736	6793
589	9751	6776
590	9766	6759
591	9781	6741
592	9797	6724
593	9812	6707
594	9828	6690
595	9844	6673
596	9859	6655
597	9875	6638
598	9890	6621
599	9906	6604
600	9922	6587
601	9941	6572
602	9957	6555
603	9973	6538
604	9988	6521
605	10003	6503
606	10019	6487
607	10035	6470
608	10051	6453
609	10067	6436
610	10082	6419
611	10097	6401
612	10112	6384
613	10127	6366
614	10142	6349
615	10158	6332
616	10174	6315
617	10190	6298
618	10205	6281
619	10220	6264
620	10236	6247
621	10254	6231
622	10270	6214
623	10286	6198
624	10302	6181
625	10317	6164
626	10333	6147
627	10349	6130
628	10364	6113
629	10380	6096
630	10395	6079
631	10411	6062
632	10426	6045
633	10443	6028
634	10466	6015
635	10482	5999
636	10498	5982
637	10514	5965
638	10529	5948
639	10545	5931
640	10561	5915
641	10577	5898
642	10593	5881
643	10608	5864
644	10624	5847
645	10640	5830
646	10656	5814
647	10672	5797
648	10687	5780
649	10704	5763
650	10720	5747
651	10735	5729
652	10750	5712
653	10765	5695
654	10789	5683
655	10813	5670
656	10837	5657
657	10862	5646
658	10888	5634
659	10913	5622
660	10937	5609
661	10962	5597
662	10987	5585
663	11011	5571
664	11036	5559
665	11060	5546
666	11081	5532
667	11097	5515
668	11112	5498
669	11128	5481
670	11143	5463
671	11158	5446
672	11174	5429
673	11189	5412
674	11204	5394
675	11220	5377
676	11235	5360
677	11251	5343
678	11266	5326
679	11281	5309
680	11297	5292
681	11314	5275
682	11329	5258
683	11345	5241
684	11361	5224
685	11376	5207
686	11392	5190
687	11407	5173
688	11423	5156
689	11438	5139
690	11455	5122
691	11470	5105
692	11487	5088
693	11504	5072
694	11525	5058
695	11551	5045
696	11575	5032
697	11596	5017
698	11611	5000
699	11626	4982
700	11651	4969
701	11674	4955
702	11698	4942
703	11722	4928
704	11746	4915
705	11769	4901
706	11792	4886
707	11816	4873
708	11840	4859
709	11865	4846
710	11886	4831
711	11901	4814
712	11916	4796
713	11932	4779
714	11948	4762
715	11963	4745
716	11978	4728
717	11994	4710
718	12009	4693
719	12025	4676
720	12051	4663
721	12076	4649
722	12101	4636
723	12124	4622
724	12148	4608
725	12172	4594
726	12190	4577
727	12206	4560
728	12222	4543
729	12237	4526
730	12253	4509
731	12268	4491
732	12283	4474
733	12298	4457
734	12314	4439
735	12330	4422
736	12345	4405
737	12361	4388
738	12376	4371
739	12391	4353
740	12407	4336
741	12423	4319
742	12438	4302
743	12454	4285
744	12469	4267
745	12484	4250
746	12498	4233
747	12514	4216
748	12529	4198
749	12545	4181
750	12562	4165
751	12587	4151
752	12611	4136
753	12632	4121
754	12647	4104
755	12672	4089
756	12696	4075
757	12719	4060
758	12744	4046
759	12767	4031
760	12791	4017
761	12815	4002
762	12838	3987
763	12862	3973
764	12886	3958
765	12909	3943
766	12934	3929
767	12950	3911
768	12965	3894
769	12980	3877
770	12996	3860
771	13011	3842
772	13026	3825
773	13042	3808
774	13057	3791
775	13072	3773
776	13093	3757
777	13110	3741
778	13126	3724
779	13142	3706
780	13157	3689
781	13172	3672
782	13188	3654
783	13204	3638
784	13220	3620
785	13239	3604
786	13256	3587
787	13271	3570
788	13287	3553
789	13303	3536
790	13318	3519
791	13334	3501
792	13349	3484
793	13363	3467
794	13378	3449
795	13394	3432
796	13409	3415
797	13425	3398
798	13440	3381
799	13457	3364
800	13473	3347
801	13489	3330
802	13506	3313
803	13522	3296
804	13537	3279
805	13553	3262
806	13568	3244
807	13583	3227
808	13598	3210
809	13616	3193
810	13636	3177
811	13651	3160
812	13667	3143
813	13683	3126
814	13698	3109
815	13713	3092
816	13729	3075
817	13745	3058
818	13760	3041
819	13776	3024
820	13791	3007
821	13807	2989
822	13826	2973
823	13851	2958
824	13874	2943
825	13897	2927
826	13912	2910
827	13927	2893
828	13943	2876
829	13959	2859
830	13975	2842
831	13991	2825
832	14007	2808
833	14022	2791
834	14037	2773
835	14053	2756
836	14069	2739
837	14085	2722
838	14101	2706
839	14116	2688
840	14132	2671
841	14163	2657
842	14185	2641
843	14208	2626
844	14227	2609
845	14243	2592
846	14258	2575
847	14273	2558
848	14289	2541
849	14304	2524
850	14319	2507
851	14335	2490
852	14350	2473
853	14365	2456
854	14381	2439
855	14397	2421
856	14413	2405
857	14431	2388
858	14448	2371
859	14463	2354
860	14478	2337
861	14494	2320
862	14509	2303
863	14526	2286
864	14541	2269
865	14557	2252
866	14573	2235
867	14589	2218
868	14604	2201
869	14619	2184
870	14634	2167
871	14650	2150
872	14670	2134
873	14693	2118
874	14717	2102
875	14741	2086
876	14765	2070
877	14789	2055
878	14812	2039
879	14836	2023
880	14859	2007
881	14882	1991
882	14904	1974
883	14919	1957
884	14933	1940
885	14949	1923
886	14964	1906
887	14980	1889
888	14995	1872
889	15011	1855
890	15034	1839
891	15056	1822
892	15071	1805
893	15087	1788
894	15101	1771
895	15117	1754
896	15133	1737
897	15148	1720
898	15163	1703
899	15179	1686
900	15198	1669
901	15223	1653
902	15247	1637
903	15270	1621
904	15294	1605
905	15317	1589
906	15342	1573
907	15364	1556
908	15388	1540
909	15403	1523
910	15419	1506
911	15434	1489
912	15450	1472
913	15465	1455
914	15481	1438
915	15497	1421
916	15512	1404
917	15528	1387
918	15544	1370
919	15559	1352
920	15574	1335
921	15590	1318
922	15606	1301
923	15623	1285
924	15639	1268
925	15655	1251
926	15670	1234
927	15686	1217
928	15701	1200
929	15720	1183
930	15743	1166
931	15767	1150
932	15791	1134
933	15815	1117
934	15829	1100
935	15845	1083
936	15861	1066
937	15877	1049
938	15893	1032
939	15908	1015
940	15923	998
941	15938	981
942	15953	964
943	15969	947
944	15984	930
945	16000	913
946	16016	896
947	16031	879
948	16047	862
949	16062	845
950	16077	828
951	16092	811
952	16108	794
953	16123	777
954	16139	760
955	16155	743
956	16171	726
957	16186	709
958	16202	692
959	16223	675
960	16247	659
961	16267	642
962	16283	625
963	16298	608
964	16313	591
965	16329	574
966	16352	558
967	16376	541
968	16392	524
969	16408	507
970	16423	490
971	16440	473
972	16455	456
973	16471	439
974	16487	422
975	16503	405
976	16522	388
977	16538	372
978	16554	355
979	16570	338
980	16584	321
981	16600	304
982	16615	287
983	16631	270
984	16646	253
985	16661	236
986	16676	219
987	16692	202
988	16708	185
989	16723	168
990	16738	152
991	16762	135
992	16784	118
993	16802	101
994	16819	84
995	16834	67
996	16850	50
997	16865	33
998	16881	16
999	16897	0
